county,indicator,Unit,Date,Value
Narok,Population Density (No. per Sq. Km),No. per Sq. Km,2019,65
Narok,Population (Excludes the special population),Persons,2019,1149379
Narok,Number of Households,Number,2019,241125
Narok,Average Household size,,2019,5
Narok East,"Population, Total",Persons,2019,115323
Narok East,"Population, Male",Persons,2019,58699
Narok East,"Population, Female",Persons,2019,56617
Narok East,"Population, Intersex",Persons,2019,7
Narok East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.6773407
Narok East,Land Area (Sq. Km),sq. km,2019,2042
Narok East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,56
Narok East,Population (Excludes the special population),Persons,2019,115091
Narok East,Number of Households,Number,2019,25078
Narok East,Average Household size,,2019,5
Narok North,"Population, Total",Persons,2019,251862
Narok North,"Population, Male",Persons,2019,128024
Narok North,"Population, Female",Persons,2019,123829
Narok North,"Population, Intersex",Persons,2019,9
Narok North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.3877363
Narok North,Land Area (Sq. Km),sq. km,2019,2159.4
Narok North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,117
Narok North,Population (Excludes the special population),Persons,2019,250105
Narok North,Number of Households,Number,2019,59996
Narok North,Average Household size,,2019,4
Narok South,"Population, Total",Persons,2019,238472
Narok South,"Population, Male",Persons,2019,118441
Narok South,"Population, Female",Persons,2019,120029
Narok South,"Population, Intersex",Persons,2019,2
Narok South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.67698639
Narok South,Land Area (Sq. Km),sq. km,2019,4577.3
Narok South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,52
Narok South,Population (Excludes the special population),Persons,2019,238301
Narok South,Number of Households,Number,2019,46723
Narok South,Average Household size,,2019,5
Narok West,"Population, Total",Persons,2019,195287
Narok West,"Population, Male",Persons,2019,97085
Narok West,"Population, Female",Persons,2019,98198
Narok West,"Population, Intersex",Persons,2019,4
Narok West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.86657569
Narok West,Land Area (Sq. Km),sq. km,2019,5563
Narok West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,35
Narok West,Population (Excludes the special population),Persons,2019,190237
Narok West,Number of Households,Number,2019,38658
Narok West,Average Household size,,2019,5
Trans Mara East,"Population, Total",Persons,2019,111183
Trans Mara East,"Population, Male",Persons,2019,54545
Trans Mara East,"Population, Female",Persons,2019,56637
Trans Mara East,"Population, Intersex",Persons,2019,1
Trans Mara East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.30630153
Trans Mara East,Land Area (Sq. Km),sq. km,2019,309.8
Trans Mara East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,359
Trans Mara East,Population (Excludes the special population),Persons,2019,111119
Trans Mara East,Number of Households,Number,2019,20506
Trans Mara East,Average Household size,,2019,5
Trans Mara West,"Population, Total",Persons,2019,245714
Trans Mara West,"Population, Male",Persons,2019,122220
Trans Mara West,"Population, Female",Persons,2019,123491
Trans Mara West,"Population, Intersex",Persons,2019,3
Trans Mara West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.9707752
Trans Mara West,Land Area (Sq. Km),sq. km,2019,2545.9
Trans Mara West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,97
Trans Mara West,Population (Excludes the special population),Persons,2019,244494
Trans Mara West,Number of Households,Number,2019,50132
Trans Mara West,Average Household size,,2019,5
Mau Forest,"Population, Total",Persons,2019,32
Mau Forest,"Population, Male",Persons,2019,28
Mau Forest,"Population, Female",Persons,2019,4
Mau Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,700
Mau Forest,Land Area (Sq. Km),sq. km,2019,752.9
Mau Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Mau Forest,Population (Excludes the special population),Persons,2019,32
Mau Forest,Number of Households,Number,2019,32
Mau Forest,Average Household size,,2019,1
Kajiado,"Population, Total",Persons,2019,1117840
Kajiado,"Population, Male",Persons,2019,557098
Kajiado,"Population, Female",Persons,2019,560704
Kajiado,"Population, Intersex",Persons,2019,38
Kajiado,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.35687992
Kajiado,Land Area (Sq. Km),sq. km,2019,21871.1
Kajiado,Population Density (No. per Sq. Km),No. per Sq. Km,2019,51
Kajiado,Population (Excludes the special population),Persons,2019,1107296
Kajiado,Number of Households,Number,2019,316179
Kajiado,Average Household size,,2019,4
Isinya,"Population, Total",Persons,2019,210473
Isinya,"Population, Male",Persons,2019,105607
Isinya,"Population, Female",Persons,2019,104860
Isinya,"Population, Intersex",Persons,2019,6
Isinya,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.7123784
Isinya,Land Area (Sq. Km),sq. km,2019,1071.6
Isinya,Population Density (No. per Sq. Km),No. per Sq. Km,2019,196
Isinya,Population (Excludes the special population),Persons,2019,207715
Isinya,Number of Households,Number,2019,71579
Isinya,Average Household size,,2019,3
Kajiado Central,"Population, Total",Persons,2019,161862
Kajiado Central,"Population, Male",Persons,2019,81514
Kajiado Central,"Population, Female",Persons,2019,80343
Kajiado Central,"Population, Intersex",Persons,2019,5
Kajiado Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.457501
Kajiado Central,Land Area (Sq. Km),sq. km,2019,4239.5
Kajiado Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,38
Kajiado Central,Population (Excludes the special population),Persons,2019,159520
Kajiado Central,Number of Households,Number,2019,37238
Kajiado Central,Average Household size,,2019,4
Kajiado North,"Population, Total",Persons,2019,306596
Kajiado North,"Population, Male",Persons,2019,150675
Kajiado North,"Population, Female",Persons,2019,155908
Kajiado North,"Population, Intersex",Persons,2019,13
Kajiado North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.64353337
Kajiado North,Land Area (Sq. Km),sq. km,2019,110.6
Kajiado North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,2773
Kajiado North,Population (Excludes the special population),Persons,2019,304404
Kajiado North,Number of Households,Number,2019,101378
Kajiado North,Average Household size,,2019,3
Kajiado West,"Population, Total",Persons,2019,182849
Kajiado West,"Population, Male",Persons,2019,91607
Kajiado West,"Population, Female",Persons,2019,91237
Kajiado West,"Population, Intersex",Persons,2019,5
Kajiado West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.4055372
Kajiado West,Land Area (Sq. Km),sq. km,2019,7862.1
Kajiado West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,23
Kajiado West,Population (Excludes the special population),Persons,2019,181622
Kajiado West,Number of Households,Number,2019,42774
Kajiado West,Average Household size,,2019,4
Loitokitok,"Population, Total",Persons,2019,191846
Loitokitok,"Population, Male",Persons,2019,94613
Loitokitok,"Population, Female",Persons,2019,97225
Loitokitok,"Population, Intersex",Persons,2019,8
Loitokitok,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.31344819
Loitokitok,Land Area (Sq. Km),sq. km,2019,6336.7
Loitokitok,Population Density (No. per Sq. Km),No. per Sq. Km,2019,30
Loitokitok,Population (Excludes the special population),Persons,2019,190174
Loitokitok,Number of Households,Number,2019,47058
Loitokitok,Average Household size,,2019,4
Mashuuru,"Population, Total",Persons,2019,64214
Mashuuru,"Population, Male",Persons,2019,33082
Mashuuru,"Population, Female",Persons,2019,31131
Mashuuru,"Population, Intersex",Persons,2019,1
Mashuuru,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,106.267065
Mashuuru,Land Area (Sq. Km),sq. km,2019,2250.7
Mashuuru,Population Density (No. per Sq. Km),No. per Sq. Km,2019,29
Mashuuru,Population (Excludes the special population),Persons,2019,63861
Mashuuru,Number of Households,Number,2019,16152
Mashuuru,Average Household size,,2019,4
Kericho,"Population, Total",Persons,2019,901777
Kericho,"Population, Male",Persons,2019,450741
Kericho,"Population, Female",Persons,2019,451008
Kericho,"Population, Intersex",Persons,2019,28
Kericho,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.94079928
Kericho,Land Area (Sq. Km),sq. km,2019,2436.1
Kericho,Population Density (No. per Sq. Km),No. per Sq. Km,2019,370
Kericho,Population (Excludes the special population),Persons,2019,896863
Kericho,Number of Households,Number,2019,206036
Kericho,Average Household size,,2019,4
Belgut,"Population, Total",Persons,2019,145072
Belgut,"Population, Male",Persons,2019,72508
Belgut,"Population, Female",Persons,2019,72564
Belgut,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.92282675
Belgut,Land Area (Sq. Km),sq. km,2019,264.3
Belgut,Population Density (No. per Sq. Km),No. per Sq. Km,2019,549
Belgut,Population (Excludes the special population),Persons,2019,144882
Belgut,Number of Households,Number,2019,35012
Belgut,Average Household size,,2019,4
Bureti,"Population, Total",Persons,2019,199470
Bureti,"Population, Male",Persons,2019,98823
Bureti,"Population, Female",Persons,2019,100642
Bureti,"Population, Intersex",Persons,2019,5
Bureti,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.19260349
Bureti,Land Area (Sq. Km),sq. km,2019,320.6
Bureti,Population Density (No. per Sq. Km),No. per Sq. Km,2019,622
Bureti,Population (Excludes the special population),Persons,2019,198781
Bureti,Number of Households,Number,2019,43117
Bureti,Average Household size,,2019,5
Kericho East,"Population, Total",Persons,2019,170625
Kericho East,"Population, Male",Persons,2019,86671
Kericho East,"Population, Female",Persons,2019,83947
Kericho East,"Population, Intersex",Persons,2019,7
Kericho East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.2449045
Kericho East,Land Area (Sq. Km),sq. km,2019,240.6
Kericho East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,709
Kericho East,Population (Excludes the special population),Persons,2019,167898
Kericho East,Number of Households,Number,2019,44246
Kericho East,Average Household size,,2019,4
Kipkelion,"Population, Total",Persons,2019,122530
Kipkelion,"Population, Male",Persons,2019,61066
Kipkelion,"Population, Female",Persons,2019,61460
Kipkelion,"Population, Intersex",Persons,2019,4
Kipkelion,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.35893264
Kipkelion,Land Area (Sq. Km),sq. km,2019,349.9
Kipkelion,Population Density (No. per Sq. Km),No. per Sq. Km,2019,350
Kipkelion,Population (Excludes the special population),Persons,2019,122380
Kipkelion,Number of Households,Number,2019,24688
Kipkelion,Average Household size,,2019,5
Londiani,"Population, Total",Persons,2019,137580
Londiani,"Population, Male",Persons,2019,68570
Londiani,"Population, Female",Persons,2019,69000
Londiani,"Population, Intersex",Persons,2019,10
Londiani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.37681159
Londiani,Land Area (Sq. Km),sq. km,2019,399.5
Londiani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,344
Londiani,Population (Excludes the special population),Persons,2019,137013
Londiani,Number of Households,Number,2019,31778
Londiani,Average Household size,,2019,4
Soin Sigowet,"Population, Total",Persons,2019,126500
Soin Sigowet,"Population, Male",Persons,2019,63103
Soin Sigowet,"Population, Female",Persons,2019,63395
Soin Sigowet,"Population, Intersex",Persons,2019,2
Soin Sigowet,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.53939585
Soin Sigowet,Land Area (Sq. Km),sq. km,2019,466.2
Soin Sigowet,Population Density (No. per Sq. Km),No. per Sq. Km,2019,271
Soin Sigowet,Population (Excludes the special population),Persons,2019,125909
Soin Sigowet,Number of Households,Number,2019,27195
Soin Sigowet,Average Household size,,2019,5
Mau Forest,Land Area (Sq. Km),sq. km,2019,201.2
Mau Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Tinderet Forest,Land Area (Sq. Km),sq. km,2019,193.7
Tinderet Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Bomet,"Population, Total",Persons,2019,875689
Bomet,"Population, Male",Persons,2019,434287
Bomet,"Population, Female",Persons,2019,441379
Bomet,"Population, Intersex",Persons,2019,23
Bomet,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.39321762
Bomet,Land Area (Sq. Km),sq. km,2019,2530.9
Bomet,Population Density (No. per Sq. Km),No. per Sq. Km,2019,346
Bomet,Population (Excludes the special population),Persons,2019,873023
Bomet,Number of Households,Number,2019,187641
Bomet,Average Household size,,2019,5
Bomet East,"Population, Total",Persons,2019,144275
Bomet East,"Population, Male",Persons,2019,71095
Bomet East,"Population, Female",Persons,2019,73172
Bomet East,"Population, Intersex",Persons,2019,8
Bomet East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.16148253
Bomet East,Land Area (Sq. Km),sq. km,2019,305
Bomet East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,473
Bomet East,Population (Excludes the special population),Persons,2019,143816
Bomet East,Number of Households,Number,2019,29958
Bomet East,Average Household size,,2019,5
Chepalungu,"Population, Total",Persons,2019,164837
Chepalungu,"Population, Male",Persons,2019,79921
Chepalungu,"Population, Female",Persons,2019,84912
Chepalungu,"Population, Intersex",Persons,2019,4
Chepalungu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.12214999
Chepalungu,Land Area (Sq. Km),sq. km,2019,460.5
Chepalungu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,358
Chepalungu,Population (Excludes the special population),Persons,2019,164710
Chepalungu,Number of Households,Number,2019,33931
Chepalungu,Average Household size,,2019,5
Konoin,"Population, Total",Persons,2019,163507
Konoin,"Population, Male",Persons,2019,83120
Konoin,"Population, Female",Persons,2019,80384
Konoin,"Population, Intersex",Persons,2019,3
Konoin,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.4036624
Konoin,Land Area (Sq. Km),sq. km,2019,392.5
Konoin,Population Density (No. per Sq. Km),No. per Sq. Km,2019,417
Konoin,Population (Excludes the special population),Persons,2019,163359
Konoin,Number of Households,Number,2019,38178
Konoin,Average Household size,,2019,4
Sotik,"Population, Total",Persons,2019,227855
