county,indicator,Unit,Date,Value
Kaloleni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.6398682
Kaloleni,Land Area (Sq. Km),sq. km,2019,706.1
Kaloleni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,274
Kaloleni,Population (Excludes the special population),Persons,2019,192905
Kaloleni,Number of Households,Number,2019,36355
Kaloleni,Average Household size,,2019,5
Kauma,"Population, Total",Persons,2019,22638
Kauma,"Population, Male",Persons,2019,10965
Kauma,"Population, Female",Persons,2019,11673
Kauma,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.93472115
Kauma,Land Area (Sq. Km),sq. km,2019,181.4
Kauma,Population Density (No. per Sq. Km),No. per Sq. Km,2019,125
Kauma,Population (Excludes the special population),Persons,2019,22613
Kauma,Number of Households,Number,2019,3479
Kauma,Average Household size,,2019,6
Kilifi North,"Population, Total",Persons,2019,178824
Kilifi North,"Population, Male",Persons,2019,86986
Kilifi North,"Population, Female",Persons,2019,91836
Kilifi North,"Population, Intersex",Persons,2019,2
Kilifi North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.71884664
Kilifi North,Land Area (Sq. Km),sq. km,2019,264.4
Kilifi North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,676
Kilifi North,Population (Excludes the special population),Persons,2019,177527
Kilifi North,Number of Households,Number,2019,39512
Kilifi North,Average Household size,,2019,4
Kilifi South,"Population, Total",Persons,2019,206753
Kilifi South,"Population, Male",Persons,2019,101852
Kilifi South,"Population, Female",Persons,2019,104897
Kilifi South,"Population, Intersex",Persons,2019,4
Kilifi South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.09715244
Kilifi South,Land Area (Sq. Km),sq. km,2019,290.5
Kilifi South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,712
Kilifi South,Population (Excludes the special population),Persons,2019,203891
Kilifi South,Number of Households,Number,2019,53074
Kilifi South,Average Household size,,2019,4
Magarini,"Population, Total",Persons,2019,191610
Magarini,"Population, Male",Persons,2019,93302
Magarini,"Population, Female",Persons,2019,98308
Magarini,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.90784066
Magarini,Land Area (Sq. Km),sq. km,2019,5229.4
Magarini,Population Density (No. per Sq. Km),No. per Sq. Km,2019,37
Magarini,Population (Excludes the special population),Persons,2019,190644
Magarini,Number of Households,Number,2019,33017
Magarini,Average Household size,,2019,6
Malindi,"Population, Total",Persons,2019,333226
Malindi,"Population, Male",Persons,2019,163351
Malindi,"Population, Female",Persons,2019,169866
Malindi,"Population, Intersex",Persons,2019,9
Malindi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.16462388
Malindi,Land Area (Sq. Km),sq. km,2019,2263.3
Malindi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,147
Malindi,Population (Excludes the special population),Persons,2019,326991
Malindi,Number of Households,Number,2019,73547
Malindi,Average Household size,,2019,4
Rabai,"Population, Total",Persons,2019,120813
Rabai,"Population, Male",Persons,2019,58571
Rabai,"Population, Female",Persons,2019,62242
Rabai,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.10205328
Rabai,Land Area (Sq. Km),sq. km,2019,207.8
Rabai,Population Density (No. per Sq. Km),No. per Sq. Km,2019,581
Rabai,Population (Excludes the special population),Persons,2019,120479
Rabai,Number of Households,Number,2019,24809
Rabai,Average Household size,,2019,5
Tana North,"Population, Total",Persons,2019,110640
Tana North,"Population, Male",Persons,2019,55716
Tana North,"Population, Female",Persons,2019,54924
Tana North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.4419926
Tana North,Land Area (Sq. Km),sq. km,2019,15478.7
Tana North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,7
Tana North,Population (Excludes the special population),Persons,2019,110293
Tana North,Number of Households,Number,2019,22791
Tana North,Average Household size,,2019,5
Tana Delta,"Population, Total",Persons,2019,116757
Tana Delta,"Population, Male",Persons,2019,59123
Tana Delta,"Population, Female",Persons,2019,57632
Tana Delta,"Population, Intersex",Persons,2019,2
Tana Delta,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.5871044
Tana Delta,Land Area (Sq. Km),sq. km,2019,13306.1
Tana Delta,Population Density (No. per Sq. Km),No. per Sq. Km,2019,9
Tana Delta,Population (Excludes the special population),Persons,2019,116463
Tana Delta,Number of Households,Number,2019,26886
Tana Delta,Average Household size,,2019,4
Tana River (subreg),"Population, Total",Persons,2019,88546
Tana River (subreg),"Population, Male",Persons,2019,43711
Tana River (subreg),"Population, Female",Persons,2019,44835
Tana River (subreg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.49303
Tana River (subreg),Land Area (Sq. Km),sq. km,2019,9165.6
Tana River (subreg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,10
Tana River (subreg),Population (Excludes the special population),Persons,2019,87954
Tana River (subreg),Number of Households,Number,2019,18565
Tana River (subreg),Average Household size,,2019,5
Lamu East,"Population, Total",Persons,2019,22258
Lamu East,"Population, Male",Persons,2019,11675
Lamu East,"Population, Female",Persons,2019,10583
Lamu East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,110.3184352
Lamu East,Land Area (Sq. Km),sq. km,2019,2336.7
Lamu East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,10
Lamu East,Population (Excludes the special population),Persons,2019,22212
Lamu East,Number of Households,Number,2019,5090
Lamu East,Average Household size,,2019,4
Lamu West,"Population, Total",Persons,2019,121662
Lamu West,"Population, Male",Persons,2019,64428
Lamu West,"Population, Female",Persons,2019,57230
Lamu West,"Population, Intersex",Persons,2019,4
Lamu West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,112.5773196
Lamu West,Land Area (Sq. Km),sq. km,2019,3916.6
Lamu West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,31
Lamu West,Population (Excludes the special population),Persons,2019,119697
Lamu West,Number of Households,Number,2019,32873
Lamu West,Average Household size,,2019,4
Mwatate,"Population, Total",Persons,2019,81659
Mwatate,"Population, Male",Persons,2019,41426
Mwatate,"Population, Female",Persons,2019,40231
Mwatate,"Population, Intersex",Persons,2019,2
Mwatate,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.9703463
Mwatate,Land Area (Sq. Km),sq. km,2019,2722.6
Mwatate,Population Density (No. per Sq. Km),No. per Sq. Km,2019,30
Mwatate,Population (Excludes the special population),Persons,2019,81389
Mwatate,Number of Households,Number,2019,23698
Mwatate,Average Household size,,2019,3
Taita,"Population, Total",Persons,2019,55959
Taita,"Population, Male",Persons,2019,28386
Taita,"Population, Female",Persons,2019,27573
Taita,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.9485366
Taita,Land Area (Sq. Km),sq. km,2019,477.9
Taita,Population Density (No. per Sq. Km),No. per Sq. Km,2019,117
Taita,Population (Excludes the special population),Persons,2019,55643
Taita,Number of Households,Number,2019,15094
Taita,Average Household size,,2019,4
Taveta,"Population, Total",Persons,2019,91222
Taveta,"Population, Male",Persons,2019,47410
Taveta,"Population, Female",Persons,2019,43812
Taveta,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,108.2123619
Taveta,Land Area (Sq. Km),sq. km,2019,6398.7
Taveta,Population Density (No. per Sq. Km),No. per Sq. Km,2019,14
Taveta,Population (Excludes the special population),Persons,2019,89319
Taveta,Number of Households,Number,2019,24115
Taveta,Average Household size,,2019,4
Voi,"Population, Total",Persons,2019,111831
Voi,"Population, Male",Persons,2019,56115
Voi,"Population, Female",Persons,2019,55711
Voi,"Population, Intersex",Persons,2019,5
Voi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.725171
Voi,Land Area (Sq. Km),sq. km,2019,7552.8
Voi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,15
Voi,Population (Excludes the special population),Persons,2019,109396
Voi,Number of Households,Number,2019,33522
Voi,Average Household size,,2019,3
Balambala,"Population, Total",Persons,2019,32257
Balambala,"Population, Male",Persons,2019,20277
Balambala,"Population, Female",Persons,2019,11979
Balambala,"Population, Intersex",Persons,2019,1
Balambala,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,169.2712246
Balambala,Land Area (Sq. Km),sq. km,2019,3684.1
Balambala,Population Density (No. per Sq. Km),No. per Sq. Km,2019,9
Balambala,Population (Excludes the special population),Persons,2019,31819
